year-week,year,week,insurance_visit,PM,temp,RH,children
2008-14,2008,14,229.0,36.255,0.0,78.72527,126114.0
2008-15,2008,15,320.0,36.255,0.0,78.72527,126114.0
2008-16,2008,16,414.0,36.255,0.0,78.72527,126114.0
2008-17,2008,17,542.0,36.255,0.0,78.72527,126114.0
2008-18,2008,18,638.0,29.94,0.0,74.27891,125678.0
2008-19,2008,19,969.0,29.94,0.0,74.27891,125678.0
2008-20,2008,20,1354.0,29.94,0.0,74.27891,125678.0
2008-21,2008,21,1371.0,29.94,0.0,74.27891,125678.0
2008-22,2008,22,1640.0,29.94,0.0,74.27891,125678.0
2008-23,2008,23,2195.0,20.682,0.0,80.39226,125234.0
2008-24,2008,24,3051.0,20.682,0.0,80.39226,125234.0
2008-25,2008,25,3749.0,20.682,0.0,80.39226,125234.0
2008-26,2008,26,3724.0,20.682,0.0,80.39226,125234.0
2008-27,2008,27,2902.0,17.958,0.0,77.78232,124924.0
2008-28,2008,28,1944.0,17.958,0.0,77.78232,124924.0
2008-29,2008,29,1249.0,17.958,0.0,77.78232,124924.0
2008-30,2008,30,879.0,17.958,0.0,77.78232,124924.0
2008-31,2008,31,562.0,27.00800000000001,0.0,71.14438,124427.0
2008-32,2008,32,405.0,27.00800000000001,0.0,71.14438,124427.0
2008-33,2008,33,345.0,27.00800000000001,0.0,71.14438,124427.0
2008-34,2008,34,302.0,27.00800000000001,0.0,71.14438,124427.0
2008-35,2008,35,304.0,27.00800000000001,0.0,71.14438,124427.0
2008-36,2008,36,275.0,30.119,0.0,78.48713000000002,124145.0
2008-37,2008,37,240.0,30.119,0.0,78.48713000000002,124145.0
2008-38,2008,38,299.0,30.119,0.0,78.48713000000002,124145.0
2008-39,2008,39,363.0,30.119,0.0,78.48713000000002,124145.0
2008-40,2008,40,296.0,29.57800000000001,0.0,77.19579999999998,123844.0
2008-41,2008,41,304.0,29.57800000000001,0.0,77.19579999999998,123844.0
2008-42,2008,42,345.0,29.57800000000001,0.0,77.19579999999998,123844.0
2008-43,2008,43,377.0,29.57800000000001,0.0,77.19579999999998,123844.0
2008-44,2008,44,415.0,23.441999999999997,0.0,74.68543000000003,123853.0
2008-45,2008,45,373.0,23.441999999999997,0.0,74.68543000000003,123853.0
2008-46,2008,46,446.0,23.441999999999997,0.0,74.68543000000003,123853.0
2008-47,2008,47,394.0,23.441999999999997,0.0,74.68543000000003,123853.0
2008-48,2008,48,365.0,23.441999999999997,0.0,74.68543000000003,123853.0
2008-49,2008,49,314.0,32.259,0.0,69.9007,123634.0
2008-50,2008,50,299.0,29.294999999999995,0.0,76.56038000000002,122954.0
2008-51,2008,51,325.0,35.274,0.0,82.4073,123004.0
2008-52,2008,52,325.0,30.236,0.0,80.89854,123124.0
2008-53,2008,53,173.0,30.236,0.0,80.89854,123124.0
2009-1,2009,1,105.0,30.236,0.0,80.89854,123124.0
2009-2,2009,2,287.0,30.236,0.0,80.89854,123124.0
2009-3,2009,3,304.0,30.236,0.0,80.89854,123124.0
2009-4,2009,4,329.0,30.236,0.0,80.89854,123124.0
2009-5,2009,5,140.0,30.236,0.0,80.89854,123124.0
2009-6,2009,6,252.0,30.236,0.0,80.89854,123124.0
2009-7,2009,7,262.0,30.236,0.0,80.89854,123124.0
2009-8,2009,8,261.0,30.236,0.0,80.89854,123124.0
2009-9,2009,9,265.0,30.236,0.0,80.89854,123124.0
2009-10,2009,10,279.0,30.236,0.0,80.89854,123124.0
2009-11,2009,11,278.0,30.236,0.0,80.89854,123124.0
2009-12,2009,12,259.0,30.236,0.0,80.89854,123124.0
2009-13,2009,13,388.0,30.236,0.0,80.89854,123124.0
2009-14,2009,14,453.0,32.926,0.0,74.31425000000002,122500.0
2009-15,2009,15,552.0,32.926,0.0,74.31425000000002,122500.0
2009-16,2009,16,641.0,32.926,0.0,74.31425000000002,122500.0
2009-17,2009,17,731.0,32.926,0.0,74.31425000000002,122500.0
2009-18,2009,18,709.0,35.2,0.0,68.65638,121974.0
2009-19,2009,19,626.0,35.2,0.0,68.65638,121974.0
2009-20,2009,20,473.0,35.2,0.0,68.65638,121974.0
2009-21,2009,21,555.0,35.2,0.0,68.65638,121974.0
2009-22,2009,22,688.0,35.2,0.0,68.65638,121974.0
2009-23,2009,23,672.0,25.385,0.0,74.96002,121886.0
2009-24,2009,24,674.0,25.385,0.0,74.96002,121886.0
2009-25,2009,25,790.0,25.385,0.0,74.96002,121886.0
2009-26,2009,26,872.0,25.385,0.0,74.96002,121886.0
2009-27,2009,27,947.0,20.522,0.0,72.14071999999999,121603.0
2009-28,2009,28,1048.0,20.522,0.0,72.14071999999999,121603.0
2009-29,2009,29,1056.0,20.522,0.0,72.14071999999999,121603.0
2009-30,2009,30,879.0,20.522,0.0,72.14071999999999,121603.0
2009-31,2009,31,878.0,22.173000000000002,0.0,78.63974,121160.0
2009-32,2009,32,904.0,22.173000000000002,0.0,78.63974,121160.0
2009-33,2009,33,878.0,22.173000000000002,0.0,78.63974,121160.0
2009-34,2009,34,802.0,22.173000000000002,0.0,78.63974,121160.0
2009-35,2009,35,696.0,22.173000000000002,0.0,78.63974,121160.0
2009-36,2009,36,506.0,21.18,0.0,72.04666,121099.0
2009-37,2009,37,480.0,21.18,0.0,72.04666,121099.0
2009-38,2009,38,319.0,21.18,0.0,72.04666,121099.0
2009-39,2009,39,353.0,21.18,0.0,72.04666,121099.0
2009-40,2009,40,277.0,24.105,0.0,76.47073,120742.0
2009-41,2009,41,330.0,24.105,0.0,76.47073,120742.0
2009-42,2009,42,313.0,24.105,0.0,76.47073,120742.0
2009-43,2009,43,351.0,24.105,0.0,76.47073,120742.0
2009-44,2009,44,258.0,24.105,0.0,76.47073,120742.0
2009-45,2009,45,226.0,20.062,0.0,80.9505,120594.0
2009-46,2009,46,189.0,20.062,0.0,80.9505,120594.0
2009-47,2009,47,189.0,20.062,0.0,80.9505,120594.0
2009-48,2009,48,222.0,20.062,0.0,80.9505,120594.0
2009-49,2009,49,277.0,39.289,0.0,77.58474,120612.0
2009-50,2009,50,274.0,31.976,0.0,79.43392,120236.0
2009-51,2009,51,301.0,29.558000000000003,0.0,85.32614000000002,119960.0
2009-52,2009,52,259.0,40.789,0.0,76.73174,119796.0
2009-53,2009,53,253.0,29.605,0.0,80.12727,119651.0
2010-1,2010,1,353.0,29.605,0.0,80.12727,119651.0
2010-2,2010,2,420.0,29.605,0.0,80.12727,119651.0
2010-3,2010,3,412.0,29.605,0.0,80.12727,119651.0
2010-4,2010,4,408.0,29.605,0.0,80.12727,119651.0
2010-5,2010,5,459.0,29.605,0.0,80.12727,119651.0
2010-6,2010,6,482.0,29.605,0.0,80.12727,119651.0
2010-7,2010,7,215.0,29.605,0.0,80.12727,119651.0
2010-8,2010,8,418.0,29.605,0.0,80.12727,119651.0
2010-9,2010,9,472.0,29.605,0.0,80.12727,119651.0
2010-10,2010,10,490.0,29.605,0.0,80.12727,119651.0
2010-11,2010,11,459.0,29.605,0.0,80.12727,119651.0
2010-12,2010,12,513.0,29.605,0.0,80.12727,119651.0
2010-13,2010,13,535.0,29.605,0.0,80.12727,119651.0
2010-14,2010,14,548.0,29.605,0.0,80.12727,119651.0
2010-15,2010,15,744.0,29.605,0.0,80.12727,119651.0
2010-16,2010,16,1014.0,29.605,0.0,80.12727,119651.0
2010-17,2010,17,1219.0,29.605,0.0,80.12727,119651.0
2010-18,2010,18,1490.0,28.355999999999998,0.0,80.33568000000002,119832.0
2010-19,2010,19,1906.0,28.355999999999998,0.0,80.33568000000002,119832.0
2010-20,2010,20,2108.0,28.355999999999998,0.0,80.33568000000002,119832.0
2010-21,2010,21,2710.0,28.355999999999998,0.0,80.33568000000002,119832.0
2010-22,2010,22,2647.0,28.355999999999998,0.0,80.33568000000002,119832.0
2010-23,2010,23,2643.0,19.0,0.0,80.7513,122303.0
2010-24,2010,24,2910.0,19.0,0.0,80.7513,122303.0
2010-25,2010,25,3759.0,19.0,0.0,80.7513,122303.0
2010-26,2010,26,3390.0,19.0,0.0,80.7513,122303.0
2010-27,2010,27,4578.0,18.586,0.0,71.99861,120559.0
2010-28,2010,28,4249.0,18.586,0.0,71.99861,120559.0
2010-29,2010,29,4071.0,18.586,0.0,71.99861,120559.0
2010-30,2010,30,3536.0,18.586,0.0,71.99861,120559.0
2010-31,2010,31,3330.0,18.586,0.0,71.99861,120559.0
2010-32,2010,32,2971.0,20.224,0.0,70.31047,119603.0
2010-33,2010,33,2947.0,20.224,0.0,70.31047,119603.0
2010-34,2010,34,2828.0,20.224,0.0,70.31047,119603.0
2010-35,2010,35,2533.0,20.224,0.0,70.31047,119603.0
2010-36,2010,36,2723.0,19.05,0.0,75.12025,118710.0
2010-37,2010,37,2682.0,19.05,0.0,75.12025,118710.0
2010-38,2010,38,2209.0,19.05,0.0,75.12025,118710.0
2010-39,2010,39,2503.0,19.05,0.0,75.12025,118710.0
2010-40,2010,40,2250.0,21.588,0.0,79.78992,117607.0
2010-41,2010,41,1858.0,21.588,0.0,79.78992,117607.0
2010-42,2010,42,1676.0,21.588,0.0,79.78992,117607.0
2010-43,2010,43,1465.0,21.588,0.0,79.78992,117607.0
2010-44,2010,44,1142.0,21.588,0.0,79.78992,117607.0
2010-45,2010,45,870.0,23.275,0.0,76.64489,117002.0
2010-46,2010,46,769.0,23.275,0.0,76.64489,117002.0
2010-47,2010,47,678.0,23.275,0.0,76.64489,117002.0
2010-48,2010,48,628.0,23.275,0.0,76.64489,117002.0
2010-49,2010,49,492.0,33.55,0.0,71.15406,116444.0
2010-50,2010,50,386.0,21.831,0.0,82.60598,115883.0
2010-51,2010,51,331.0,35.643,0.0,81.7224,115433.0
2010-52,2010,52,262.0,34.418,0.0,77.06463000000002,115254.0
2011-1,2011,1,201.0,34.418,0.0,77.06463000000002,115254.0
2011-2,2011,2,180.0,34.418,0.0,77.06463000000002,115254.0
2011-3,2011,3,158.0,34.418,0.0,77.06463000000002,115254.0
2011-4,2011,4,154.0,34.418,0.0,77.06463000000002,115254.0
2011-5,2011,5,91.0,34.418,0.0,77.06463000000002,115254.0
2011-6,2011,6,118.0,34.418,0.0,77.06463000000002,115254.0
2011-7,2011,7,114.0,34.418,0.0,77.06463000000002,115254.0
2011-8,2011,8,135.0,34.418,0.0,77.06463000000002,115254.0
2011-9,2011,9,135.0,34.418,0.0,77.06463000000002,115254.0
2011-10,2011,10,149.0,34.418,0.0,77.06463000000002,115254.0
2011-11,2011,11,178.0,34.418,0.0,77.06463000000002,115254.0
2011-12,2011,12,227.0,34.418,0.0,77.06463000000002,115254.0
2011-13,2011,13,200.0,34.418,0.0,77.06463000000002,115254.0
2011-14,2011,14,192.0,41.272,0.0,72.70178999999997,114940.0
2011-15,2011,15,290.0,41.272,0.0,72.70178999999997,114940.0
2011-16,2011,16,369.0,41.272,0.0,72.70178999999997,114940.0
2011-17,2011,17,344.0,41.272,0.0,72.70178999999997,114940.0
2011-18,2011,18,503.0,41.272,0.0,72.70178999999997,114940.0
2011-19,2011,19,682.0,25.391,0.0,80.72648000000002,114800.0
2011-20,2011,20,872.0,25.391,0.0,80.72648000000002,114800.0
2011-21,2011,21,1051.0,25.391,0.0,80.72648000000002,114800.0
2011-22,2011,22,1252.0,25.391,0.0,80.72648000000002,114800.0
2011-23,2011,23,1460.0,20.816999999999997,0.0,75.97166,114561.0
2011-24,2011,24,1887.0,20.816999999999997,0.0,75.97166,114561.0
2011-25,2011,25,2098.0,20.816999999999997,0.0,75.97166,114561.0
2011-26,2011,26,2282.0,20.816999999999997,0.0,75.97166,114561.0
2011-27,2011,27,2548.0,20.128,0.0,74.58888999999998,114312.0
2011-28,2011,28,2421.0,20.128,0.0,74.58888999999998,114312.0
2011-29,2011,29,2368.0,20.128,0.0,74.58888999999998,114312.0
2011-30,2011,30,2262.0,20.128,0.0,74.58888999999998,114312.0
2011-31,2011,31,1776.0,20.128,0.0,74.58888999999998,114312.0
2011-32,2011,32,1540.0,19.052,0.0,75.37379,114104.0
2011-33,2011,33,1324.0,19.052,0.0,75.37379,114104.0
2011-34,2011,34,1250.0,19.052,0.0,75.37379,114104.0
2011-35,2011,35,1073.0,19.052,0.0,75.37379,114104.0
2011-36,2011,36,1064.0,26.971,0.0,72.55404999999998,114056.0
2011-37,2011,37,803.0,26.971,0.0,72.55404999999998,114056.0
2011-38,2011,38,777.0,26.971,0.0,72.55404999999998,114056.0
2011-39,2011,39,597.0,26.971,0.0,72.55404999999998,114056.0
2011-40,2011,40,509.0,20.592,0.0,76.24455999999998,113633.0
2011-41,2011,41,378.0,20.592,0.0,76.24455999999998,113633.0
2011-42,2011,42,605.0,20.592,0.0,76.24455999999998,113633.0
2011-43,2011,43,554.0,20.592,0.0,76.24455999999998,113633.0
2011-44,2011,44,671.0,20.592,0.0,76.24455999999998,113633.0
2011-45,2011,45,787.0,21.255,0.0,81.22209000000002,113534.0
2011-46,2011,46,1059.0,21.255,0.0,81.22209000000002,113534.0
2011-47,2011,47,1197.0,21.255,0.0,81.22209000000002,113534.0
2011-48,2011,48,1067.0,21.255,0.0,81.22209000000002,113534.0
2011-49,2011,49,1094.0,19.23,0.0,81.07496,113447.0
2011-50,2011,50,1135.0,21.73,0.0,83.536,112989.0
2011-51,2011,51,1295.0,22.523000000000003,0.0,86.4254,113052.0
2011-52,2011,52,1288.0,29.455,0.0,78.81210999999998,113132.0
2012-1,2012,1,1179.0,29.455,0.0,78.81210999999998,113132.0
2012-2,2012,2,1018.0,29.455,0.0,78.81210999999998,113132.0
2012-3,2012,3,1119.0,29.455,0.0,78.81210999999998,113132.0
2012-4,2012,4,493.0,29.455,0.0,78.81210999999998,113132.0
2012-5,2012,5,673.0,29.455,0.0,78.81210999999998,113132.0
2012-6,2012,6,660.0,29.455,0.0,78.81210999999998,113132.0
2012-7,2012,7,718.0,29.455,0.0,78.81210999999998,113132.0
2012-8,2012,8,795.0,29.455,0.0,78.81210999999998,113132.0
2012-9,2012,9,751.0,29.455,0.0,78.81210999999998,113132.0
2012-10,2012,10,712.0,29.455,0.0,78.81210999999998,113132.0
2012-11,2012,11,768.0,29.455,0.0,78.81210999999998,113132.0
2012-12,2012,12,805.0,29.455,0.0,78.81210999999998,113132.0
2012-13,2012,13,878.0,29.455,0.0,78.81210999999998,113132.0
2012-14,2012,14,637.0,27.628,0.0,77.02709,113222.0
2012-15,2012,15,725.0,27.628,0.0,77.02709,113222.0
2012-16,2012,16,709.0,27.628,0.0,77.02709,113222.0
2012-17,2012,17,800.0,27.628,0.0,77.02709,113222.0
2012-18,2012,18,1130.0,14.508,0.0,76.66790999999998,113195.0
2012-19,2012,19,1266.0,14.508,0.0,76.66790999999998,113195.0
2012-20,2012,20,1272.0,14.508,0.0,76.66790999999998,113195.0
2012-21,2012,21,1667.0,14.508,0.0,76.66790999999998,113195.0
2012-22,2012,22,1574.0,15.582,0.0,82.33884,113218.0
2012-23,2012,23,1968.0,15.582,0.0,82.33884,113218.0
2012-24,2012,24,1996.0,15.582,0.0,82.33884,113218.0
2012-25,2012,25,1956.0,15.582,0.0,82.33884,113218.0
2012-26,2012,26,2384.0,15.582,0.0,82.33884,113218.0
2012-27,2012,27,2508.0,15.512999999999998,0.0,72.74557,113251.0
2012-28,2012,28,2286.0,15.512999999999998,0.0,72.74557,113251.0
2012-29,2012,29,1702.0,15.512999999999998,0.0,72.74557,113251.0
2012-30,2012,30,1364.0,15.512999999999998,0.0,72.74557,113251.0
2012-31,2012,31,1104.0,20.197,0.0,76.8764,113374.0
2012-32,2012,32,1112.0,20.197,0.0,76.8764,113374.0
2012-33,2012,33,1131.0,20.197,0.0,76.8764,113374.0
2012-34,2012,34,856.0,20.197,0.0,76.8764,113374.0
2012-35,2012,35,768.0,27.744,0.0,72.4909,113315.0
2012-36,2012,36,764.0,27.744,0.0,72.4909,113315.0
2012-37,2012,37,797.0,27.744,0.0,72.4909,113315.0
2012-38,2012,38,776.0,27.744,0.0,72.4909,113315.0
2012-39,2012,39,626.0,27.744,0.0,72.4909,113315.0
2012-40,2012,40,536.0,25.433000000000003,0.0,69.23129,113493.0
2012-41,2012,41,487.0,25.433000000000003,0.0,69.23129,113493.0
2012-42,2012,42,456.0,25.433000000000003,0.0,69.23129,113493.0
2012-43,2012,43,405.0,25.433000000000003,0.0,69.23129,113493.0
2012-44,2012,44,371.0,28.56,0.0,77.19306,113724.0
2012-45,2012,45,365.0,28.56,0.0,77.19306,113724.0
2012-46,2012,46,318.0,28.56,0.0,77.19306,113724.0
2012-47,2012,47,302.0,28.56,0.0,77.19306,113724.0
2012-48,2012,48,337.0,23.722,0.0,78.24765,113850.0
2012-49,2012,49,438.0,29.065999999999995,0.0,78.58061000000002,114172.0
2012-50,2012,50,417.0,29.336,0.0,83.61515,114087.0
2012-51,2012,51,650.0,33.304,0.0,78.37881999999998,113947.0
2012-52,2012,52,597.0,34.501,0.0,79.31004999999998,113772.0
2013-1,2013,1,564.0,34.501,0.0,79.31004999999998,113772.0
2013-2,2013,2,596.0,34.501,0.0,79.31004999999998,113772.0
2013-3,2013,3,547.0,34.501,0.0,79.31004999999998,113772.0
2013-4,2013,4,540.0,34.501,0.0,79.31004999999998,113772.0
2013-5,2013,5,541.0,34.501,0.0,79.31004999999998,113772.0
2013-6,2013,6,570.0,34.501,0.0,79.31004999999998,113772.0
2013-7,2013,7,262.0,34.501,0.0,79.31004999999998,113772.0
2013-8,2013,8,422.0,34.501,0.0,79.31004999999998,113772.0
2013-9,2013,9,319.0,34.501,0.0,79.31004999999998,113772.0
2013-10,2013,10,406.0,34.501,0.0,79.31004999999998,113772.0
2013-11,2013,11,374.0,34.501,0.0,79.31004999999998,113772.0
2013-12,2013,12,441.0,34.501,0.0,79.31004999999998,113772.0
2013-13,2013,13,492.0,34.501,0.0,79.31004999999998,113772.0
2013-14,2013,14,488.0,34.501,0.0,79.31004999999998,113772.0
2013-15,2013,15,561.0,34.501,0.0,79.31004999999998,113772.0
2013-16,2013,16,541.0,34.501,0.0,79.31004999999998,113772.0
2013-17,2013,17,567.0,34.501,0.0,79.31004999999998,113772.0
2013-18,2013,18,653.0,20.109,0.0,79.64135999999998,113778.0
2013-19,2013,19,661.0,20.109,0.0,79.64135999999998,113778.0
2013-20,2013,20,889.0,20.109,0.0,79.64135999999998,113778.0
2013-21,2013,21,1480.0,20.109,0.0,79.64135999999998,113778.0
2013-22,2013,22,2040.0,22.436,0.0,75.55213,113551.0
2013-23,2013,23,2357.0,22.436,0.0,75.55213,113551.0
2013-24,2013,24,2648.0,22.436,0.0,75.55213,113551.0
2013-25,2013,25,2899.0,22.436,0.0,75.55213,113551.0
2013-26,2013,26,2821.0,22.436,0.0,75.55213,113551.0
2013-27,2013,27,2578.0,19.115,0.0,74.74148000000002,113278.0
2013-28,2013,28,2192.0,19.115,0.0,74.74148000000002,113278.0
2013-29,2013,29,1948.0,19.115,0.0,74.74148000000002,113278.0
2013-30,2013,30,1600.0,19.115,0.0,74.74148000000002,113278.0
2013-31,2013,31,1548.0,19.514,0.0,76.62038000000003,112857.0
2013-32,2013,32,1432.0,19.514,0.0,76.62038000000003,112857.0
2013-33,2013,33,1200.0,19.514,0.0,76.62038000000003,112857.0
2013-34,2013,34,892.0,19.514,0.0,76.62038000000003,112857.0
2013-35,2013,35,939.0,19.514,0.0,76.62038000000003,112857.0
2013-36,2013,36,752.0,19.245,0.0,76.87613999999998,112414.0
2013-37,2013,37,738.0,19.245,0.0,76.87613999999998,112414.0
2013-38,2013,38,707.0,19.245,0.0,76.87613999999998,112414.0
2013-39,2013,39,782.0,19.245,0.0,76.87613999999998,112414.0
2013-40,2013,40,769.0,22.7,0.0,74.23307,112013.0
2013-41,2013,41,941.0,22.7,0.0,74.23307,112013.0
2013-42,2013,42,1030.0,22.7,0.0,74.23307,112013.0
2013-43,2013,43,786.0,22.7,0.0,74.23307,112013.0
2013-44,2013,44,727.0,26.594,0.0,75.30601999999998,111457.0
2013-45,2013,45,844.0,26.594,0.0,75.30601999999998,111457.0
2013-46,2013,46,1249.0,26.594,0.0,75.30601999999998,111457.0
2013-47,2013,47,1383.0,26.594,0.0,75.30601999999998,111457.0
2013-48,2013,48,993.0,26.594,0.0,75.30601999999998,111457.0
2013-49,2013,49,705.0,32.953,0.0,75.56236,111271.0
2013-50,2013,50,730.0,35.035,0.0,67.18241,110877.0
2013-51,2013,51,811.0,22.724,15.4436,81.55490999999998,110674.0
2013-52,2013,52,816.0,29.269000000000002,17.79035,77.36386999999998,110682.0
2014-1,2014,1,857.0,29.269000000000002,17.79035,77.36386999999998,110682.0
2014-2,2014,2,908.0,29.269000000000002,17.79035,77.36386999999998,110682.0
2014-3,2014,3,891.0,29.269000000000002,17.79035,77.36386999999998,110682.0
2014-4,2014,4,690.0,29.269000000000002,17.79035,77.36386999999998,110682.0
2014-5,2014,5,385.0,29.269000000000002,17.79035,77.36386999999998,110682.0
2014-6,2014,6,341.0,29.269000000000002,17.79035,77.36386999999998,110682.0
2014-7,2014,7,373.0,29.269000000000002,17.79035,77.36386999999998,110682.0
2014-8,2014,8,447.0,29.269000000000002,17.79035,77.36386999999998,110682.0
2014-9,2014,9,404.0,29.269000000000002,17.79035,77.36386999999998,110682.0
2014-10,2014,10,526.0,29.269000000000002,17.79035,77.36386999999998,110682.0
2014-11,2014,11,529.0,29.269000000000002,17.79035,77.36386999999998,110682.0
2014-12,2014,12,599.0,29.269000000000002,17.79035,77.36386999999998,110682.0
2014-13,2014,13,700.0,29.269000000000002,17.79035,77.36386999999998,110682.0
2014-14,2014,14,830.0,26.638,21.5357,78.09425,110663.0
2014-15,2014,15,814.0,26.638,21.5357,78.09425,110663.0
2014-16,2014,16,944.0,26.638,21.5357,78.09425,110663.0
2014-17,2014,17,1000.0,26.638,21.5357,78.09425,110663.0
2014-18,2014,18,1219.0,22.123,24.72573,83.02902999999998,110834.0
2014-19,2014,19,1377.0,22.123,24.72573,83.02902999999998,110834.0
2014-20,2014,20,2096.0,22.123,24.72573,83.02902999999998,110834.0
2014-21,2014,21,2736.0,22.123,24.72573,83.02902999999998,110834.0
2014-22,2014,22,3727.0,22.123,24.72573,83.02902999999998,110834.0
2014-23,2014,23,4039.0,17.367,27.843759999999996,79.78465000000001,110762.0
2014-24,2014,24,4061.0,17.367,27.843759999999996,79.78465000000001,110762.0
2014-25,2014,25,3368.0,17.367,27.843759999999996,79.78465000000001,110762.0
2014-26,2014,26,2884.0,17.367,27.843759999999996,79.78465000000001,110762.0
2014-27,2014,27,2558.0,18.69,30.28913,71.56878,110780.0
2014-28,2014,28,1978.0,18.69,30.28913,71.56878,110780.0
2014-29,2014,29,1305.0,18.69,30.28913,71.56878,110780.0
2014-30,2014,30,988.0,18.69,30.28913,71.56878,110780.0
2014-31,2014,31,714.0,17.887999999999995,29.778540000000003,73.36926,110669.0
2014-32,2014,32,695.0,17.887999999999995,29.778540000000003,73.36926,110669.0
2014-33,2014,33,640.0,17.887999999999995,29.778540000000003,73.36926,110669.0
2014-34,2014,34,565.0,17.887999999999995,29.778540000000003,73.36926,110669.0
2014-35,2014,35,485.0,17.887999999999995,29.778540000000003,73.36926,110669.0
2014-36,2014,36,567.0,19.067,29.39457,71.35499999999998,110746.0
2014-37,2014,37,438.0,19.067,29.39457,71.35499999999998,110746.0
2014-38,2014,38,422.0,19.067,29.39457,71.35499999999998,110746.0
2014-39,2014,39,417.0,19.067,29.39457,71.35499999999998,110746.0
2014-40,2014,40,510.0,24.737,24.15539,70.86543,110592.0
2014-41,2014,41,373.0,24.737,24.15539,70.86543,110592.0
2014-42,2014,42,372.0,24.737,24.15539,70.86543,110592.0
